address,agentRef,bedrooms,development,identifier,latitude,longitude,outcode,price,propertyType,status,telephoneNumber,tenureType,transactionTypeId,updateDate,publicsiteUrl
Meadow Road Kennington SW8,P197742,2,False,39433506,51.48366734286274,-0.11708794866715272,SW8,409950,flat,Sold STC,020 8012 2626,Leasehold,1,2017/08/03 14:51:35,http://www.rightmove.co.uk/property-for-sale/property-39433506.html
"Wandsworth Road, Vauxhall/Nine Elms",6162124,2,False,52128721,51.478909,-0.129197,SW8,499995,flat,Sold STC,020 8012 9119,,1,2017/09/27 11:59:02,http://www.rightmove.co.uk/property-for-sale/property-52128721.html
"Meadow Road, LONDON",KGT107267,2,False,57603002,51.48266956657824,-0.11655294999905648,SW8,375000,apartment,Sold STC,020 8012 2049,Leasehold,1,2017/10/26 11:21:57,http://www.rightmove.co.uk/property-for-sale/property-57603002.html
"Coleridge Close, London, SW8",104993,3,False,40773273,51.47034672744342,-0.14456167095399605,SW8,650000,end of terrace house,Sold STC,020 8012 2098,,1,2016/11/01 05:46:40,http://www.rightmove.co.uk/property-for-sale/property-40773273.html
"Carey Gardens, Battersea, London, .",BAB080517,3,False,39419061,51.47338028976678,-0.1373828512336396,SW8,440000,maisonette,Sold STC,020 8012 1703,Leasehold,1,2017/11/22 16:17:09,http://www.rightmove.co.uk/property-for-sale/property-39419061.html
"Meadow Road, London SW8",715967,1,False,23211532,51.48314663075087,-0.1182616037567304,SW8,200,flat,,020 7820 4100,,2,2017/10/27 15:51:35,http://www.rightmove.co.uk/property-to-rent/property-23211532.html
"NEWBY STREET, SW8",1848191,2,False,38824827,51.467797,-0.146588,SW8,899950,terraced house,Under Offer,020 8012 4244,Freehold,1,2017/10/17 11:38:34,http://www.rightmove.co.uk/property-for-sale/property-38824827.html
"Wandsworth Road, London",BTS103441,1,False,53684333,51.47010315762511,-0.14053999348025037,SW8,400000,flat,,020 8012 2034,Leasehold,1,2017/10/26 13:16:05,http://www.rightmove.co.uk/property-for-sale/property-53684333.html
"Walberswick Street, Vauxhall",2169490,3,False,39714540,51.47827318685263,-0.12278250264215776,SW8,730000,flat,Sold STC,020 8012 2756,,1,2017/11/08 15:26:05,http://www.rightmove.co.uk/property-for-sale/property-39714540.html
"Wilkinson Street, London",26034668,4,False,39353181,51.47814642885335,-0.12048354743391175,SW8,1550000,house,Sold STC,020 8012 7374,,1,2017/06/15 17:33:12,http://www.rightmove.co.uk/property-for-sale/property-39353181.html
"Davidson Gardens, London SW8",337798,3,False,17531425,51.479512804999494,-0.12719604466259715,SW8,280000,flat,Sold STC,020 7820 4100,,1,2014/09/11 05:11:58,http://www.rightmove.co.uk/property-for-sale/property-17531425.html
"Wenham House, Ascalon Street, London, SW8",158117,3,False,31316276,51.47839380055184,-0.14164293477262135,SW8,300,apartment,Let Agreed,020 8012 2428,,2,2017/11/27 09:19:25,http://www.rightmove.co.uk/property-to-rent/property-31316276.html
"Meadow Road, London, SW8 1NB",338076,3,False,39812916,51.48266956657824,-0.11655294999905648,SW8,500000,flat,Sold STC,020 8012 1074,,1,2017/01/03 00:00:00,http://www.rightmove.co.uk/property-for-sale/property-39812916.html
"Meadow Road, Vauxhall, London, SW8",26569158,2,False,62716190,51.48040001338144,-0.12082295027206663,SW8,575000,apartment,,020 8012 4974,,1,2017/11/28 09:26:56,http://www.rightmove.co.uk/property-for-sale/property-62716190.html
"Hartington Road,
London,
SW8",P10R,2,False,7656169,51.47887453988844,-0.12664614134967578,SW8,280,apartment,Let Agreed,020 8900 4800,,2,2014/09/10 09:36:01,http://www.rightmove.co.uk/property-to-rent/property-7656169.html
"Thackeray Road, Battersea Park",2034509,2,False,18056842,51.46956523065932,-0.14632116602320897,SW8,399950,flat,Sold STC,020 8012 2737,,1,2017/11/08 15:16:35,http://www.rightmove.co.uk/property-for-sale/property-18056842.html
"Kenchester Close, London",KGT107135,3,False,36950418,51.478042734095425,-0.12524012808989352,SW8,650000,flat,Sold STC,020 8012 2049,Freehold,1,2017/10/26 11:21:57,http://www.rightmove.co.uk/property-for-sale/property-36950418.html
"Corfe House, Dorset Road, London SW8",364184,2,False,23211526,51.47938378832328,-0.1191365538467563,SW8,200000,flat,,020 8012 2211,,1,2017/10/27 15:51:35,http://www.rightmove.co.uk/property-for-sale/property-23211526.html
